Date,DE40Cash_profit,DE40Cash_lot,Date,Price,Open,High,Low,Vol.,Change %,DE40Cash_China_profit,DE40Cash_China_lot,DE40Cash_World_profit,DE40Cash_World_lot
11/11/2024,-8229.90,49.13,11/11/2024,19448.60,19386.70,19546.90,19382.48,59.02M,1.21%,-2235.39,58.84,63.23,0.35
12/11/2024,-1623.81,51.80,11/12/2024,19033.64,19260.58,19339.82,19019.67,92.93M,-2.13%,800.69,16.29,103.35,0.17
13/11/2024,9322.73,49.49,11/13/2024,19003.11,19024.28,19125.69,18838.68,92.68M,-0.16%,-1103.31,19.33,45.39,0.14
14/11/2024,-2500.68,45.76,11/14/2024,19263.70,19072.19,19307.57,19060.44,77.86M,1.37%,-1887.80,3.92,185.38,0.25
15/11/2024,-1993.38,29.65,11/15/2024,19210.81,19135.64,19288.89,19121.14,67.44M,-0.27%,-2889.92,10.31,38.13,0.04
18/11/2024,8269.50,62.33,11/18/2024,19189.19,19249.26,19279.16,19091.90,51.55M,-0.11%,-539.60,4.21,-29.01,0.05
19/11/2024,-5131.80,58.69,11/19/2024,19060.31,19175.84,19211.80,18812.53,62.32M,-0.67%,1492.35,19.04,102.44,0.33
20/11/2024,-2264.29,58.42,11/20/2024,19004.78,19153.03,19198.74,18962.19,53.80M,-0.29%,3099.68,8.23,-8.17,0.04
21/11/2024,1659.84,72.70,11/21/2024,19146.17,19060.92,19152.61,18900.02,55.65M,0.74%,70.53,1.11,2.43,0.18
22/11/2024,-6578.37,44.55,11/22/2024,19322.59,19240.23,19338.10,19036.41,71.16M,0.92%,-521.47,11.64,136.67,0.37
25/11/2024,-20928.84,51.23,11/25/2024,19405.20,19462.24,19468.30,19329.88,121.85M,0.43%,1407.90,11.66,-3.42,0.06
26/11/2024,-3493.30,50.92,11/26/2024,19295.98,19309.16,19385.35,19239.37,60.76M,-0.56%,366.30,1.65,-5.95,0.17
